"null","Sourced","Placed","References","Value","Footprint","MPN","Manufacturer","Package"
1,"","","C17","100n","C_0402_1005Metric","CL05B104KA5NNNC","Samsung Electro-Mechanics",402
2,"","","C19","100n","C_0402_1005Metric","CL05B104KA5NNNC","Samsung Electro-Mechanics",402
3,"","","C20","100n","C_0402_1005Metric","CL05B104KA5NNNC","Samsung Electro-Mechanics",402
4,"","","C22","100n","C_0402_1005Metric","CL05B104KA5NNNC","Samsung Electro-Mechanics",402
5,"","","C24","100n","C_0402_1005Metric","CL05B104KA5NNNC","Samsung Electro-Mechanics",402
6,"","","C25","100n","C_0402_1005Metric","CL05B104KA5NNNC","Samsung Electro-Mechanics",402
7,"","","C26","100n","C_0402_1005Metric","CL05B104KA5NNNC","Samsung Electro-Mechanics",402
8,"","","C27","100n","C_0402_1005Metric","CL05B104KA5NNNC","Samsung Electro-Mechanics",402
9,"","","C28","100n","C_0402_1005Metric","CL05B104KA5NNNC","Samsung Electro-Mechanics",402
10,"","","C29","100n","C_0402_1005Metric","CL05B104KA5NNNC","Samsung Electro-Mechanics",402
11,"","","C30","100n","C_0402_1005Metric","CL05B104KA5NNNC","Samsung Electro-Mechanics",402
12,"","","C31","100n","C_0402_1005Metric","CL05B104KA5NNNC","Samsung Electro-Mechanics",402
13,"","","C32","100n","C_0402_1005Metric","CL05B104KA5NNNC","Samsung Electro-Mechanics",402
14,"","","C3","0.047u","C_0603_HandSoldering","CL10B473KB8NNNC","Samsung Electro-Mechanics",603
15,"","","C4","0.047u","C_0603_HandSoldering","CL10B473KB8NNNC","Samsung Electro-Mechanics",603
16,"","","C5","0.047u","C_0603_HandSoldering","CL10B473KB8NNNC","Samsung Electro-Mechanics",603
17,"","","C6","0.047u","C_0603_HandSoldering","CL10B473KB8NNNC","Samsung Electro-Mechanics",603
18,"","","C7","0.047u","C_0603_HandSoldering","CL10B473KB8NNNC","Samsung Electro-Mechanics",603
19,"","","C8","0.047u","C_0603_HandSoldering","CL10B473KB8NNNC","Samsung Electro-Mechanics",603
20,"","","C9","100n","C_0603_1608Metric","CL10B104KB8NNWC","Samsung Electro-Mechanics",603
21,"","","C10","100n","C_0603_1608Metric","CL10B104KB8NNWC","Samsung Electro-Mechanics",603
22,"","","C11","100n","C_0603_1608Metric","CL10B104KB8NNWC","Samsung Electro-Mechanics",603
23,"","","C12","100n","C_0603_1608Metric","CL10B104KB8NNWC","Samsung Electro-Mechanics",603
24,"","","C1","C_Polarized","CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder","GRM32ER71A476ME15L","Murata Electronics",1210
25,"","","C13","C_Polarized","CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder","GRM32ER71A476ME15L","Murata Electronics",1210
26,"","","C14","27p","C_0402_1005Metric","0402YA270JAT2A","KYOCERA AVX",402
27,"","","C15","27p","C_0402_1005Metric","0402YA270JAT2A","KYOCERA AVX",402
28,"","","C16","10u","C_0805_2012Metric","GRM21BR71A106KA73K","Murata Electronics",805
29,"","","C18","10u","C_0805_2012Metric","GRM21BR71A106KA73K","Murata Electronics",805
30,"","","C21","1u","C_0402_1005Metric","GRM155Z71A105KE01J","Murata Electronics",402
31,"","","C23","1u","C_0402_1005Metric","GRM155Z71A105KE01J","Murata Electronics",402
32,"","","C2","47p","C_0603_1608Metric","CL10C470JB81PNC","Samsung Electro-Mechanics",603
33,"","","R1",180,"R_0402_1005Metric","RC0402FR-07180RL","YAGEO",402
34,"","","R2",180,"R_0402_1005Metric","RC0402FR-07180RL","YAGEO",402
35,"","","R7",180,"R_0402_1005Metric","RC0402FR-07180RL","YAGEO",402
36,"","","R8",180,"R_0402_1005Metric","RC0402FR-07180RL","YAGEO",402
