null	Sourced	Placed	References	Value	Footprint
1			C17	100n	C_0402_1005Metric
2			C19	100n	C_0402_1005Metric
3			C20	100n	C_0402_1005Metric
4			C22	100n	C_0402_1005Metric
5			C24	100n	C_0402_1005Metric
6			C25	100n	C_0402_1005Metric
7			C26	100n	C_0402_1005Metric
8			C27	100n	C_0402_1005Metric
9			C28	100n	C_0402_1005Metric
10			C29	100n	C_0402_1005Metric
11			C30	100n	C_0402_1005Metric
12			C31	100n	C_0402_1005Metric
13			C32	100n	C_0402_1005Metric
14			C3	0.047u	C_0603_HandSoldering
15			C4	0.047u	C_0603_HandSoldering
16			C5	0.047u	C_0603_HandSoldering
17			C6	0.047u	C_0603_HandSoldering
18			C7	0.047u	C_0603_HandSoldering
19			C8	0.047u	C_0603_HandSoldering
20			C9	100n	C_0603_1608Metric
21			C10	100n	C_0603_1608Metric
22			C11	100n	C_0603_1608Metric
23			C12	100n	C_0603_1608Metric
24			C1	C_Polarized	CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder
25			C13	C_Polarized	CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder
26			C14	27p	C_0402_1005Metric
27			C15	27p	C_0402_1005Metric
28			C16	10u	C_0805_2012Metric
29			C18	10u	C_0805_2012Metric
30			C21	1u	C_0402_1005Metric
31			C23	1u	C_0402_1005Metric
32			C2	47p	C_0603_1608Metric
33			R1	180	R_0402_1005Metric
34			R2	180	R_0402_1005Metric
35			R7	180	R_0402_1005Metric
36			R8	180	R_0402_1005Metric
37			R9	180	R_0402_1005Metric
38			R3	2k	R_0603_1608Metric_Pad0.98x0.95mm_HandSolder
39			R4	2k	R_0603_1608Metric_Pad0.98x0.95mm_HandSolder
40			R5	2k	R_0603_1608Metric_Pad0.98x0.95mm_HandSolder
41			R6	2k	R_0603_1608Metric_Pad0.98x0.95mm_HandSolder
42			R10	316	R_0402_1005Metric
43			R19	316	R_0402_1005Metric
44			R24	316	R_0402_1005Metric
45			R25	316	R_0402_1005Metric
46			R13	10k	R_0603_1608Metric_Pad0.98x0.95mm_HandSolder
47			R14	10k	R_0603_1608Metric_Pad0.98x0.95mm_HandSolder
48			R15	10k	R_0603_1608Metric_Pad0.98x0.95mm_HandSolder
49			R11	100R	R_0603_1608Metric_Pad0.98x0.95mm_HandSolder
50			R12	100R	R_0603_1608Metric_Pad0.98x0.95mm_HandSolder
51			R16	1k	C_0402_1005Metric
52			R18	1k	C_0402_1005Metric
53			R20	27	C_0402_1005Metric
54			R21	27	C_0402_1005Metric
55			R17	100k	R_0603_1608Metric_Pad0.98x0.95mm_HandSolder
56			R22	750R	R_0603_1608Metric
