,,,,,,,,
,Quantity,Sourced,Placed,References,Value,MPN,Manufacturer,Package
,1,,,C17,100n,CL05B104KA5NNNC,Samsung Electro-Mechanics,402
,1,,,C19,100n,CL05B104KA5NNNC,Samsung Electro-Mechanics,402
,1,,,C20,100n,CL05B104KA5NNNC,Samsung Electro-Mechanics,402
,1,,,C22,100n,CL05B104KA5NNNC,Samsung Electro-Mechanics,402
,1,,,C24,100n,CL05B104KA5NNNC,Samsung Electro-Mechanics,402
,1,,,C25,100n,CL05B104KA5NNNC,Samsung Electro-Mechanics,402
,1,,,C26,100n,CL05B104KA5NNNC,Samsung Electro-Mechanics,402
,1,,,C27,100n,CL05B104KA5NNNC,Samsung Electro-Mechanics,402
,1,,,C28,100n,CL05B104KA5NNNC,Samsung Electro-Mechanics,402
,1,,,C29,100n,CL05B104KA5NNNC,Samsung Electro-Mechanics,402
,1,,,C30,100n,CL05B104KA5NNNC,Samsung Electro-Mechanics,402
,1,,,C31,100n,CL05B104KA5NNNC,Samsung Electro-Mechanics,402
,1,,,C32,100n,CL05B104KA5NNNC,Samsung Electro-Mechanics,402
,1,,,C3,0.047u,CL10B473KB8NNNC,Samsung Electro-Mechanics,603
,1,,,C4,0.047u,CL10B473KB8NNNC,Samsung Electro-Mechanics,603
,1,,,C5,0.047u,CL10B473KB8NNNC,Samsung Electro-Mechanics,603
,1,,,C6,0.047u,CL10B473KB8NNNC,Samsung Electro-Mechanics,603
,1,,,C7,0.047u,CL10B473KB8NNNC,Samsung Electro-Mechanics,603
,1,,,C8,0.047u,CL10B473KB8NNNC,Samsung Electro-Mechanics,603
,1,,,C9,100n,CL10B104KB8NNWC,Samsung Electro-Mechanics,603
,1,,,C10,100n,CL10B104KB8NNWC,Samsung Electro-Mechanics,603
,1,,,C11,100n,CL10B104KB8NNWC,Samsung Electro-Mechanics,603
,1,,,C12,100n,CL10B104KB8NNWC,Samsung Electro-Mechanics,603
,1,,,C1,47uF,GRM32ER71A476ME15L,Murata Electronics,1210
,1,,,C13,47uF,GRM32ER71A476ME15L,Murata Electronics,1210
,1,,,C14,27p,0402YA270JAT2A,KYOCERA AVX,402
,1,,,C15,27p,0402YA270JAT2A,KYOCERA AVX,402
,1,,,C16,10u,GRM21BR71A106KA73K,Murata Electronics,805
,1,,,C18,10u,GRM21BR71A106KA73K,Murata Electronics,805
,1,,,C21,1u,GRM155Z71A105KE01J,Murata Electronics,402
,1,,,C23,1u,GRM155Z71A105KE01J,Murata Electronics,402
,1,,,C2,47p,CL10C470JB81PNC,Samsung Electro-Mechanics,603
,1,,,R1,180R,RC0402FR-07180RL,YAGEO,402
,1,,,R2,180R,RC0402FR-07180RL,YAGEO,402
,1,,,R7,180R,RC0402FR-07180RL,YAGEO,402
,1,,,R8,180R,RC0402FR-07180RL,YAGEO,402
,1,,,R9,180R,RC0402FR-07180RL,YAGEO,402
,1,,,R3,2k,RC0603FR-132KL,YAGEO,603
,1,,,R4,2k,RC0603FR-132KL,YAGEO,603
,1,,,R5,2k,RC0603FR-132KL,YAGEO,603
,1,,,R6,2k,RC0603FR-132KL,YAGEO,603
,1,,,R10,316R,RC0402FR-07316RL,YAGEO,402
,1,,,R19,316R,RC0402FR-07316RL,YAGEO,402
,1,,,R24,316R,RC0402FR-07316RL,YAGEO,402
,1,,,R25,316R,RC0402FR-07316RL,YAGEO,402
,1,,,R13,10k,RNCP0603FTD10K0,Stackpole Electronics Inc,603
,1,,,R14,10k,RNCP0603FTD10K0,Stackpole Electronics Inc,603
,1,,,R15,10k,RNCP0603FTD10K0,Stackpole Electronics Inc,603
,1,,,R11,100R,RMCF0603FT100R,Stackpole Electronics Inc,603
,1,,,R12,100R,RMCF0603FT100R,Stackpole Electronics Inc,603
,1,,,R16,1k,RMCF0402FT1K00,Stackpole Electronics Inc,402
,1,,,R18,1k,RMCF0402FT1K00,Stackpole Electronics Inc,402
,1,,,R20,27R,RC0402FR-0727RL,YAGEO,402
,1,,,R21,27R,RC0402FR-0727RL,YAGEO,402
,1,,,R17,100k,RC0603FR-07100KL,YAGEO,603
,1,,,R22,750R,RC0603JR-07750RL,YAGEO,603
,1,,,R23,1k,RNCP0603FTD1K00,Stackpole Electronics Inc,603
,1,,,R26,220R,RMCF0603JT220R,Stackpole Electronics Inc,603
,1,,,D1,"CUS10S30,H3F","CUS10S30,H3F",Toshiba Semiconductor and Storage,SOD-323
,1,,,D2,M7C,B5819W,"Yangzhou Yangjie Electronic Technology Co.,Ltd",SOD-123
,1,,,U4,DRV5055A2xDBZxQ1,DRV5055A3QDBZR,Texas Instruments,SOT-23
,1,,,U9,DRV5055A2xDBZxQ1,DRV5055A3QDBZR,Texas Instruments,SOT-23
,1,,,U10,DRV5055A2xDBZxQ1,DRV5055A3QDBZR,Texas Instruments,SOT-23
,1,,,U11,DRV5055A2xDBZxQ1,DRV5055A3QDBZR,Texas Instruments,SOT-23
,1,,,U1,MCP3202,MCP3202-CI/SN,Microchip Technology,8-SOIC
,1,,,U3,MCP3202,MCP3202-CI/SN,Microchip Technology,8-SOIC
,1,,,U2,Stickbox_Assembly_Main,T3+Magnet_Assy,Internal,Through-hole
,1,,,U5,Stickbox_Assembly_CStick,T3+Magnet_Assy,Internal,Through-hole
,1,,,U6,AMS1117-3.3,AMS1117-3.3,UMW,SOT-223-3
,1,,,U7,W25Q128JVS,W25Q128JVSIQ TR,Winbond Electronics,8-SOIC
,1,,,U8,RP2040,SC0914(13),Raspberry Pi,56-QFN
,1,,,U12,USBLC6-2P6,USBLC6-2P6,STMicroelectronics,SOT-666
,1,,,Y1,Crystal_GND24,RH100-12.000-18-2020-EXT-TR,Raltron Electronics,SMD-3225
,1,,,F1,Fuse,PTS120624V020,Eaton - Electronics Division,1206
,1,,,SW8,Z,1825027-5,TE Connectivity ALCOSWITCH Switches,Through-hole
,1,,,FB1,FerriteBead_Small,2508056017Y2,Fair-Rite Products Corp.,805
,1,,,FB2,FerriteBead_Small,2508056017Y2,Fair-Rite Products Corp.,805
,1,,,FB3,FerriteBead_Small,2508056017Y2,Fair-Rite Products Corp.,805
,1,,,FB5,FerriteBead_Small,2508056017Y2,Fair-Rite Products Corp.,805
,1,,,Q1,Q_NMOS_GSD,AO3400A,Alpha & Omega Semiconductor Inc.,SOT-23
,1,,,Q3,Q_NMOS_GSD,AO3400A,Alpha & Omega Semiconductor Inc.,SOT-23
,1,,,RV1,R_POT_MountingPin,Trigger-Slider,Various,Through-hole
,1,,,RV2,R_POT_MountingPin,Trigger-Slider,Various,Through-hole
,1,,,FB4,FerriteBead_Small,MMZ1608B601CTAH0,TDK Corporation,603
,1,,,Q2,Q_PMOS_GDS,AO3401A,Alpha & Omega Semiconductor Inc.,SOT-23
,1,,,Q4,Q_NMOS_GSD,"T2N7002AK,LM",Toshiba Semiconductor and Storage,SOT-23
,1,,,S1,BOOTSEL,PTS526 SK15 SMTR2 LFS,C&K,SMD
,1,,,J8,USB_B_Micro,10118194-0001LF,Amphenol ICC (FCI),Hybrid
